City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,11/28/21 0:58,39.05,-27.9833,61.14,62,89,9.4
1,Tasiilaq,GL,11/28/21 0:58,65.6145,-37.6368,23.31,90,100,10.71
2,East London,ZA,11/28/21 0:58,-33.0153,27.9116,63.46,90,6,4.92
3,Estelle,US,11/28/21 0:58,29.8458,-90.1067,53.6,63,100,3.78
4,North Platte,US,11/28/21 0:58,41.1239,-100.7654,46.17,45,100,8.28
5,Albany,US,11/28/21 0:57,42.6001,-73.9662,25.41,66,5,8.95
6,Ushuaia,AR,11/28/21 0:57,-54.8,-68.3,51.46,43,20,10.36
7,Celestun,MX,11/28/21 0:58,20.8667,-90.4,74.88,75,97,9.33
8,Tuatapere,NZ,11/28/21 0:58,-46.1333,167.6833,62.38,44,0,5.77
9,Port Lincoln,AU,11/28/21 0:56,-34.7333,135.8667,64.89,64,0,9.35
10,Faanui,PF,11/28/21 0:58,-16.4833,-151.75,81.37,73,17,17.85
11,Mataura,NZ,11/28/21 0:58,-46.1927,168.8643,68.74,29,0,2.21
12,Carnarvon,AU,11/28/21 0:58,-24.8667,113.6333,91.47,15,0,10.36
13,Baghmara,IN,11/28/21 0:58,23.795,86.2085,60.66,61,71,4.61
14,Lakatoro,VU,11/28/21 0:58,-16.0999,167.4164,84.42,68,19,4.76
15,Kavieng,PG,11/28/21 0:58,-2.5744,150.7967,84.25,67,97,2.53
16,Leningradskiy,RU,11/28/21 0:58,69.3833,178.4167,-19.93,90,8,9.51
17,Kruisfontein,ZA,11/28/21 0:58,-34.0033,24.7314,59.81,71,50,6.42
18,Souillac,MU,11/28/21 0:58,-20.5167,57.5167,71.98,88,20,4.61
19,Rikitea,PF,11/28/21 0:58,-23.1203,-134.9692,76.6,73,24,15.68
20,Avarua,CK,11/28/21 0:58,-21.2078,-159.775,73.45,100,75,2.3
21,Jamestown,US,11/28/21 0:58,42.097,-79.2353,27.99,97,100,7.4
22,Vila Franca Do Campo,PT,11/28/21 0:58,37.7167,-25.4333,59.41,76,45,6.96
23,Mamallapuram,IN,11/28/21 0:58,12.6264,80.1722,77.05,90,100,8.55
24,Bluff,NZ,11/28/21 0:58,-46.6,168.3333,54.39,55,1,5.68
25,Namie,JP,11/28/21 0:58,37.4833,141,46.94,59,9,13.24
26,Port Elizabeth,ZA,11/28/21 0:58,-33.918,25.5701,62.89,72,0,6.91
27,Hilo,US,11/28/21 0:56,19.7297,-155.09,75.02,79,41,3.56
28,Busselton,AU,11/28/21 0:58,-33.65,115.3333,79.86,43,25,4.76
29,Dakar,SN,11/28/21 0:59,14.6937,-17.4441,78.93,83,0,13.8
30,Petawawa,CA,11/28/21 0:59,45.9001,-77.3328,18.99,79,1,4.61
31,Kilgore,US,11/28/21 0:59,32.3863,-94.8758,49.28,53,100,6.6
32,Coihaique,CL,11/28/21 0:59,-45.5752,-72.0662,53.55,43,75,6.91
